monster_id,skill_id,skill_slot,skill_element
frost-floradelle,petal-dance,2,grass
puffmora,ex-candy-bomb,1,common
puffmora,ex-gift-delivery,2,common
puffmora,petal-dance,3,grass
pinecarol,ex-candy-bomb,1,common
pinecarol,ex-gift-delivery,2,common
pinecarol,leaf-surge,3,grass
gingerjoy,ex-candy-bomb,1,common
gingerjoy,ex-gift-delivery,2,common
rudolphin,ex-candy-bomb,1,common
rudolphin,ex-gift-delivery,2,common
shadeknight,ex-water-shuriken,1,water
shadeknight,water-pillar-blast,2,water
gildron,earth-smash,1,ground
gildron,ex-rock-toss,2,ground
flamespike,rallying-war-cry-6-sec-50,1,fire
flamespike,ex-fireball,2,fire
dustwing,barrier,1,common
dustwing,gravel-scatter-shot,2,ground
mistwing,wind-blast,1,common
mistwing,water-shuriken,2,water
emberwing,fireball,1,fire
emberwing,fire-tornado,2,fire
fernwing,galecut,1,grass
fernwing,healing-pulse,2,grass
snowwing,barrier,1,common
snowwing,frosty-dart,2,ice
iceplate,ice-road,1,ice
iceplate,ex-iceball,2,ice
voltagator,electric-beam,1,common
voltagator,ex-air-bullet,2,common
undine,healing-water-ball,1,water
undine,tsunami,2,water
tidevex,ex-water-shuriken,1,water
tidevex,ice-road,2,ice
woolhorn,wind-blast,1,common
woolhorn,dash,2,common
mechavolt,thunder-stun,1,common
mechavolt,void-orb,2,common
cobaltwing,frosty-dart,1,ice
cobaltwing,frozen-nova,2,ice
frostwyrm,frost-breath,1,ice
frostwyrm,frozen-nova,2,ice
liodan,fire-tornado,1,fire
liodan,firecracker-pop,2,fire
kitsunine,ex-fireball,1,fire
kitsunine,charming-wind,2,common
thunderjet,ion-blast,1,common
thunderjet,void-orb,2,common
psyber,lightning-thrust,1,common
psyber,violet-core-burst,2,common
dracospike,rock-road,1,ground
dracospike,ex-rock-toss,2,ground
ignisraptor,inferno-maelstrom,1,fire
ignisraptor,ex-fireball,2,fire
mintgloom,nether-fireball,1,fire
mintgloom,rallying-war-cry-3-sec-50,2,fire
netherdemon,soul-reap-chain,1,common
netherdemon,thorn-shield,2,common
toucan-birdman,wind-blast,1,common
toucan-birdman,urgent-aid,2,common
primothorn,galecut,1,grass
primothorn,root-spike,2,grass
abyssaldrake,fire-dragon-flame-blast,1,fire
abyssaldrake,crimson-burst,2,common
berrybun,egg-blast,1,common
bladetooth,sunder-taunt,1,ground
bladetooth,thorn-shield,2,common
thunderclaw,gravel-whirlwind,1,ground
thunderclaw,electro-nova,2,common
burrowbun,gravel-whirlwind,1,ground
burrowbun,rock-road,2,ground
aetherpanther,thunder-stun,1,common
aetherpanther,bale-breath,2,fire
crystalfae,vortex-nova,1,water
crystalfae,tsunami,2,water
magma-tortoise,flame-jet,1,fire
magma-tortoise,thorn-shield,2,common
stellar-sentinel,ghost-impact,1,common
stellar-sentinel,soul-reap-chain,2,common
lampyr,void-orb,1,common
lampyr,thunder-stun,2,common
umbra-reaver,lightning-storm-blue,1,common
umbra-reaver,lightning-thrust,2,common
lumen-knight,lightning-storm-purple,1,common
lumen-knight,lightning-thrust,2,common
jokaire,jokers-trick,1,common
jokaire,void-collapse,2,common
bull-lord,ghost-fireball,1,fire
bull-lord,earth-smash,2,ground
scareaper,reapers-crescents,1,common
scareaper,soul-reap-chain,2,common
magmorus,fire-tornado,1,fire
magmorus,blaze-blast,2,fire
gravion,dark-singularity,1,common
gravion,oblivion-beam,2,common
runegolem,ex-rock-toss,1,ground
runegolem,earth-smash,2,ground
crabblaze,fire-dragon-flame-blast,1,fire
crabblaze,inferno-maelstrom,2,fire
capshark,mighty-water-shuriken,1,water
capshark,tsunami,2,water
beatopus,deadly-sonic-wave,1,common
beatopus,ripple-guard,2,common
stormhorn,lightning-thrust,1,common
stormhorn,taunt,2,common
solgryph,scorching-fireball,1,fire
solgryph,fire-tornado,2,fire
violetaegis,lightning-storm-blue,1,common
violetaegis,void-orb,2,common
venofrog,tsunami,1,water
venofrog,poison-volley,2,fire
rainimp,soul-reap-chain,1,common
rainimp,healing-shuriken,2,water
vorturion,ghost-impact,1,common
vorturion,inferno-blast,2,common
sylvaris,root-spike,1,grass
sylvaris,urgent-aid,2,common
dragon-cannelloni,dragons-breath,1,fire
dragon-cannelloni,fireball,2,fire
flaragflora,grass-tornado,1,grass
flaragflora,solar-beam,2,grass
flaragfrost,ex-iceball,1,ice
flaragfrost,ice-surge,2,ice
flaragaqua,ex-water-jet,1,water
flaragaqua,ex-water-shuriken,2,water
glazadonbloom,solar-breath,1,grass
glazadonbloom,leaf-surge,2,grass
glazadonwave,water-breath,1,water
glazadonwave,ex-water-jet,2,water
glazadonflare,flame-breath,1,fire
glazadonflare,ex-fireball,2,fire
frostvolf,holy-aura-icevolf,1,common
frostvolf,ice-road,2,ice
frostvolf,ex-iceball,3,ice
frostusk,ice-road,1,ice
frostusk,ex-iceball,2,ice
volctusk,inferno-maelstrom,1,fire
volctusk,ex-fireball,2,fire
terratops,barrier,1,common
terratops,earth-smash,2,ground
frostbound-knight,ice-road,1,ice
frostbound-knight,ex-iceball,2,ice
flame-knight,ex-fireball,1,fire
flame-knight,rallying-war-cry-3-sec-50,2,fire
verdant-knight,root-spike,1,grass
verdant-knight,galecut,2,grass
stoneward-knight,ex-rock-toss,1,ground
stoneward-knight,barrier,2,common
leafane,root-spike,1,grass
leafane,healing-pulse,2,grass
glacane,ex-iceball,1,ice
glacane,ice-surge,2,ice
folirabbit,galecut,1,grass
folirabbit,leaf-surge,2,grass
mudbit,gravel-scatter-shot,1,ground
mudbit,barrier,2,common
inferron,inferno-maelstrom,1,fire
inferron,inferno-smash,2,fire
mossron,root-spike,1,grass
mossron,root-slam,2,grass
glaciron,glacial-smash,1,ice
glaciron,ex-iceball,2,ice
blazevex,fire-dash,1,fire
blazevex,inferno-maelstrom,2,fire
bramblevex,root-spike,1,grass
bramblevex,healing-pulse,2,grass
geogator,earth-smash,1,ground
geogator,ex-rock-toss,2,ground
glacigator,frost-beam,1,ice
glacigator,ex-iceball,2,ice
blazewyrm,inferno-maelstrom,1,fire
blazewyrm,ex-fireball,2,fire
spinewyrm,healing-pulse,1,grass
spinewyrm,galecut,2,grass
marigon,mighty-water-shuriken,1,water
marigon,healing-water-ball,2,water
cinderine,fire-tornado,1,fire
cinderine,fire-dash,2,fire
tellurine,rock-road,1,ground
tellurine,barrier,2,common
dracovine,healing-pulse,1,grass
dracovine,leaf-surge,2,grass
dracosleet,ice-road,1,ice
dracosleet,frozen-nova,2,ice
nightveil,the-ring,1,common
nightveil,soul-reap-chain,2,common
diabvok,rallying-war-cry-6-sec-50,1,fire
diabvok,fire-dragon-flame-blast,2,fire
terravok,rock-road,1,ground
terravok,barrier,2,common
rubywing,ex-fireball,1,fire
rubywing,inferno-maelstrom,2,fire
lazuliwing,tsunami,1,water
lazuliwing,ex-water-shuriken,2,water
hornrexie,mighty-rock-toss,1,ground
hornrexie,rallying-war-cry-6-sec-40-self-70,2,ground
glacierclaw,ice-road,1,ice
glacierclaw,ex-iceball,2,ice
mossclaw,healing-pulse,1,grass
mossclaw,galecut,2,grass
ignilampyr,rallying-war-cry-6-sec-50,1,fire
ignilampyr,fire-tornado,2,fire
terrampyr,gravel-whirlwind,1,ground
terrampyr,earth-smash,2,ground
dumplorer,egg-blast,1,common
dumplorer,jokers-trick,2,common
psyflora,grass-tornado,1,grass
psyflora,root-spike,2,grass
glaciber,ex-iceball,1,ice
glaciber,ripple-guard,2,common
flaragblaze,inferno-maelstrom,1,fire
flaragblaze,ex-fireball,2,fire
glazadonfroz,frost-breath,1,ice
glazadonfroz,ice-surge,2,ice
glazadonfroz,ice-road,3,ice
fire-dragon-cannelloni,dragons-breath,1,fire
fire-dragon-cannelloni,fireball,2,fire
necro-dragon-cannelloni,dragons-breath-ghost,1,fire
necro-dragon-cannelloni,fireball-ghost,2,fire
titanusk,holy-aura-titan-tusk,1,common
titanusk,grass-tornado,2,grass
titanusk,leaf-surge,3,grass
eclipse-knight,bloodthirsty-aura,1,common
eclipse-knight,reapers-crescents,2,common
eclipse-knight,void-orb,3,common
lunavox,wind-disc-purple,1,common
lunavox,lunar-taunt,2,common
lunavox,lunar-heal,3,common
hydrolope,mighty-water-shuriken,1,water
hydrolope,tsunami,2,water
solron,titan-slam,1,ground
solron,ex-rock-toss,2,ground
scythewing,galemoon-blade,1,common
scythewing,crimson-burst,2,common
celestide,healing-water-ball,1,water
celestide,icicle-prison,2,ice
doomgator,inferno-blast,1,common
doomgator,bloodthirsty-aura,2,common
frostiel,void-collapse,1,common
frostiel,soul-reap-chain,2,common
steamforge,blaze-blast,1,fire
steamforge,ex-fireball,2,fire
mentawolf,leaf-blade,1,grass
mentawolf,root-spike,2,grass
avalanchewyrm,ex-ice-surge,1,ice
avalanchewyrm,icicle-prison,2,ice
poseidine,hydro-cannon,1,water
poseidine,healing-water-ball,2,water
armored-dracospike,emergency-thorn-shield,1,common
armored-dracospike,ion-blast,2,common
soulguard,soul-slash,1,common
soulguard,ghost-fireball,2,fire
motovok,overvolt-tempest,1,common
motovok,electro-nova,2,common
crystalwing,glacial-wall,1,ice
crystalwing,healing-water-ball,2,water
divineclaw,divine-energy-blast,1,common
divineclaw,rock-road,2,ground
djinn-lampyr,holy-aura-djinn-lampyr,1,common
djinn-lampyr,thunder-stun,2,common
necro-hydra-tortelloni,dragons-rage,1,fire
psyberion-x,violet-core-burst-psyberion-x,1,common
psyberion-x,lightning-thrust-psyberion-x,2,common
void-noctane,air-bullet,1,common
void-noctane,wind-disc,2,common
void-dustwing,barrier,1,common
void-dustwing,gravel-scatter-shot,2,ground
void-lunavox,barrier,1,common
void-lunavox,lunar-taunt,2,common
void-lunavox,lunar-heal,3,common
void-iceplate,ice-road,1,ice
void-iceplate,ex-iceball,2,ice
void-scythewing,galemoon-blade,1,common
void-scythewing,crimson-burst,2,common
void-scythewing,barrier,3,common
void-shadecloak,barrier,1,common
void-shadecloak,soul-reap-chain,2,common
void-strum-bones,demonic-lullaby,1,common
void-strum-bones,healing-pulse,2,grass
void-nightveil,the-ring,1,common
void-nightveil,soul-reap-chain,2,common
void-scareaper,fear-taunt,1,common
void-scareaper,reapers-crescents,2,common
icearia,icicle-prison,1,ice
icearia,frosty-dart,2,ice
