Monster,Rarity,Element,Damage,Health,Crit Chance,Evolution Source,Growth Type,Skill 1,Skill 2,Skill 3,Passives,Sources,Index (Position)
Tricerasteel,Legendary,Ground,335184,8069450,0,,Standard,Earth Smash,Gravel Scatter Shot,,,"Island Special Spawn | Special Spawn | Dragon's Breath | Current
Egg | Ancient Egg | Dragon's Breath | Current
Chest | Mythical Chest | Limited Events | Current",67
Cloveria,Legendary,Grass,605420,6477600,0,,Standard,Grass Tornado,Ex Seed Grenade,,,Island Spawn | Natural Spawn | Blossom Haven | Current,68
Shadecloak,Legendary,Common,874800,6500500,0,,Standard,Barrier,Soul Reap Chain,,,"Island Spawn | Natural Spawn | Blossom Haven | Current
Chest | Mythical Chest | Limited Events | Current",69
Emberwolf,Legendary,Fire,482759,3587200,0,Mintwolf,Standard,Rallying War Cry (6 sec 50%),Fire Tornado,,,Evolution | Mintwolf Evolution |  | Current |  | Evolves from Mintwolf.,70
Jackpotron,Legendary,Common,1273000,13620000,0,,Standard,Egg Blast,Egg Blast,,,Island Spawn | Natural Spawn | Mobius Circus | Current,71
Sleetwolf,Legendary,Water,335253,5165200,0,Mintwolf,Standard,Ripple Guard,Tsunami,,,Evolution | Mintwolf Evolution |  | Current |  | Evolves from Mintwolf.,72
Rexie,Legendary,Ground,1651000,17666000,0,,Standard,Rock Road,Gravel Whirlwind,,,"Egg | Rexie's Egg | Mobius Circus | Current
Chest | Mythical Chest | Limited Events | Current",73
Stumpfox,Legendary,Grass,2063300,22077000,0,,Standard,Grass Tornado,Galecut,,,"Chest | Rift Chest | Abyss Shop | Current
Chest | Mythical Chest | Limited Events | Current",74
Strum Bones,Legendary,Common,2882750,30845000,0,,Standard,Demonic Lullaby,Healing Pulse,,,Island Spawn | Natural Spawn | Specter Shallows | Current,75
Bone Guard,Legendary,Common,3222700,34482400,0,,Standard,Taunt,Ghost Impact,,,Island Spawn | Natural Spawn | Specter Shallows | Current,76
Meowl,Legendary,Common,4338000,46418000,0,,Standard,Ex Air Bullet,,,"Mentor Spirit | 25
Fortune Spirit | 25
Capturer's Boon | 25",Chest | Rift Chest | Abyss Shop | Current,77
Snoozepink,Legendary,Water,5033040,53856700,0,,Standard,Vortex Nova,Water Shuriken,,,Island Spawn | Natural Spawn | Nova Coast | Current,78
Froxy,Legendary,Ice,6286000,67305000,0,,Standard,Glacial Wall,Ice Road,,,Island Spawn | Natural Spawn | Splash Isle | Current,79
Lynxgear,Legendary,Common,9824000,105124000,0,,Standard,Dark Singularity,Electro Nova,,,Island Spawn | Natural Spawn | Coilwork City | Current,80
Flaragon,Mythical,Fire,754,8068,0,,Standard,Claw Attack,Ex Fireball,,,Egg | Flaragon's Egg | Volcano | Current,81
Glazadon,Mythical,Ice,4013,42951,0,,Standard,Frost Breath,Ice Surge,,,Egg | Glacier Egg | Frost Isle | Current,82
Mountusk,Mythical,Grass,4027,62063,0,,Standard,Ex Seed Grenade,Healing Pulse,,,Egg | Sprout Egg | Frost Isle | Current,83
Frostbun,Mythical,Ice,333720,3970000,0,,Standard,Ex Iceball,Ice Road,,,Island Special Spawn | Special Spawn | Frost Isle | Current,84
Flarecrest,Mythical,Fire,4817,35792,10,,Standard,Inferno Maelstrom,Ex Fireball,,,"Event | Turkey Egg | Thanksgiving Event 2025 | Legacy
Event | Xmas Egg | Christmas Event 2025 | Current
Chest | Memory Chest 2 | Abyss Shop | Current",85
Aquilune,Mythical,Ice,5217,28481,0,,Standard,Ice Surge,Ex Iceball,,,"Shop | Tower Spire Shop | Skyheart Isle | Current
Chest | Mythical Chest | Limited Events | Current",86
Frost Floradelle,Mythical,Grass,44770,332660,10,,Standard,Solar Beam,Petal Dance,,,"Island Spawn | Natural Spawn | Neverland | Current | Night and Aurora
Chest | Mythical Chest | Limited Events | Current",87
Puffmora,Mythical,Grass,14787,227840,20,,Standard,Ex Candy Bomb,Ex Gift Delivery,Petal Dance,,"Event | Event Battlepass | Christmas Event 2025 | Current
Chest | Memory Chest 1 | Abyss Shop | Current",88
Pinecarol,Mythical,Grass,25730,275300,0,,Standard,Ex Candy Bomb,Ex Gift Delivery,Leaf Surge,,"Event | Festive Gift Box | Christmas Event 2025 | Legacy |  | Small chance to be obtained when oppened
Chest | Memory Chest 1 | Abyss Shop | Current",89
Gingerjoy,Mythical,Common,21290,158200,0,,Standard,Ex Candy Bomb,Ex Gift Delivery,,,"Event | Christmas Event Summnon | Christmas Event 2025 | Legacy
Chest | Memory Chest 1 | Abyss Shop | Current",90
Rudolphin,Mythical,Ice,9822,236513,0,,Standard,Ex Candy Bomb,Ex Gift Delivery,,,"Event | Christmas Event Shop | Christmas Event 2025 | Unavailable |  | Obtainable during the Christmas Event shop for 9000 candy canes
Chest | Memory Chest 1 | Abyss Shop | Current",91
ShadeKnight,Mythical,Water,21360,228620,0,,Standard,Ex Water Shuriken,Water Pillar Blast,,,Egg | ShadeKnight's Egg | Neverland | Current,92
Gildron,Mythical,Ground,78440,839300,0,,Standard,Earth Smash,Ex Rock Toss,,,Egg | Gildron's Egg | Duneveil Isle | Current,93
FlameSpike,Mythical,Fire,2284,17024,10,,Standard,Rallying War Cry (6 sec 50%),Ex Fireball,,,Island Special Spawn | Special Spawn | Volcano | Current,94
DustWing,Mythical,Ground,87686,938240,10,,Standard,Barrier,Gravel Scatter Shot,,,"Island Special Spawn | Special Spawn | Duneveil Isle | Current
Rift | Duneveil Isle Rift 3 | Duneveil Isle | Current",95
Mistwing,Mythical,Water,191350,2047400,0,DustWing,Standard,Wind Blast,Water Shuriken,,,Evolution | DustWing Evolution |  | Current |  | Evolves from DustWing.,96
Emberwing,Mythical,Fire,267887,1462400,0,DustWing,Standard,Fireball,Fire Tornado,,,Evolution | DustWing Evolution |  | Current |  | Evolves from DustWing.,97
Fernwing,Mythical,Grass,229600,1706200,0,DustWing,Standard,Galecut,Healing Pulse,,,Evolution | DustWing Evolution |  | Current |  | Evolves from DustWing.,98
Snowwing,Mythical,Ice,159450,2454200,0,DustWing,Standard,Barrier,Frosty Dart,,,Evolution | DustWing Evolution |  | Current |  | Evolves from DustWing.,99
Iceplate,Mythical,Ice,75835,1168500,0,,Standard,Ice Road,Ex Iceball,,Rift Dominance | 50,Chest | Rift Chest | Abyss Shop | Current,100
Voltgator,Mythical,Common,91300,2200000,10,,Standard,Electric Beam,Ex Air Bullet,,Spire Dominance | 50,"Rift | Duneveil Isle Rift 3 | Volcano | Current
Rift | Duneveil Isle Rift 3 | Frost Isle | Current
Rift | Duneveil Isle Rift 3 | Neverland | Current
Rift | Duneveil Isle Rift 3 | Duneveil Isle | Current
Chest | Mythical Chest | Limited Events | Current",101
Undine,Mythical,Water,286960,2132300,10,,Standard,Healing Water Ball,Tsunami,,,"Island Special Spawn | Special Spawn | Tideland | Current
Rift | Tideland Rift 3 | Tideland | Current
Chest | Mythical Chest | Limited Events | Current",102
TideVex,Mythical,Water,267300,2860400,10,,Standard,Ex Water Shuriken,Ice Road,,,Egg | TideVex's Egg | Tideland | Current,103
Woolhorn,Mythical,Common,185000,2850400,10,,Standard,Wind Blast,Dash,,Fortune Spirit | 25,"Chest | Rift Chest | Abyss Shop | Current
Chest | Mythical Chest | Limited Events | Current",104
Mechavolt,Mythical,Ice,467700,2553400,0,,Standard,Thunder Stun,Void Orb,,Boss Slayer | 40,"Rift | Tideland Rift 3 | Tideland | Current
Chest | Mythical Chest | Limited Events | Current",105
Cobaltwing,Mythical,Ice,542660,2962600,10,,Standard,Frosty Dart,Frozen Nova,,,"Island Special Spawn | Special Spawn | Spirit Grove | Current
Rift | Spirit Grove Rift 3 | Spirit Grove | Current
Chest | Mythical Chest | Limited Events | Current",106
Frostwyrm,Mythical,Ice,466770,4994400,0,,Standard,Frost Breath,Frozen Nova,,,Egg | Frostwyrm's Egg | Spirit Grove | Current,107
Liodan,Mythical,Fire,320800,2383700,0,,Standard,Fire Tornado,Firecracker Pop,,,"Chest | Memory Chest 2 | Abyss Shop | Current
Event | Valentine's Egg | Valentine's Event 2026 | Legacy
Rift | Valentine's Rift | Valentine's Event 2026 | Legacy",108
Kitsunine,Mythical,Fire,335240,5165500,10,,Standard,Ex Fireball,Charming Wind,,,"Chest | Memory Chest 2 | Abyss Shop | Current
Event | Valentine's Egg | Valentine's Event 2026 | Legacy
Rift | Valentine's Rift | Valentine's Event 2026 | Legacy",109
Thunderjet,Mythical,Common,278400,4289700,0,,Standard,Ion Blast,Void Orb,,Capturer's Boon | 10,"Chest | Rift Chest | Abyss Shop | Current
Chest | Mythical Chest | Limited Events | Current",110
Psyber,Mythical,Common,502780,5379400,10,,Standard,Lightning Thrust,Violet Core Burst,,Spire Dominance | 50,"Rift | Spirit Grove Rift 3 | Spirit Grove | Current
Chest | Mythical Chest | Limited Events | Current",111
Dracospike,Mythical,Ground,291670,12480000,0,,Standard,Rock Road,Ex Rock Toss,,,Egg | Dracospike's Egg | Dragon's Breath | Current,112
Ignisraptor,Mythical,Fire,912900,4984000,10,,Standard,Inferno Maelstrom,Ex Fireball,,,Island Special Spawn | Special Spawn | Dragon's Breath | Current |  | Area: Castle,113
Mintgloom,Mythical,Fire,466769,4994100,0,,Standard,Nether Fireball,Rallying War Cry (3 sec 50%),,Fortune Spirit | 30,"Chest | Rift Chest | Abyss Shop | Current
Chest | Mythical Chest | Limited Events | Current",114
Netherdemon,Mythical,Common,451200,10862000,0,,Standard,Soul Reap Chain,Thorn Shield,,Boss Resistance | 25,"Rift | Dragon's Breath Rift 3 | Dragon's Breath | Current
Chest | Mythical Chest | Limited Events | Current",115
Toucan BirdMan,Mythical,Common,679160,10464000,10,,Standard,Wind Blast,Urgent Aid,,Boss Slayer | 40,"Rift | Dragon's Breath Rift 3 | Dragon's Breath | Current
Chest | Mythical Chest | Limited Events | Current",116
Primothorn,Mythical,Common,418977,6455200,10,,Standard,Galecut,Root Spike,,,"Egg | Primothorn's Egg | Cinderclaw Castle | Current |  | Normal Difficulty and Hard Difficulty
Chest | Mythical Chest | Limited Events | Current",117
AbyssalDrake,Mythical,Common,1323800,7226900,10,,Standard,Fire Dragon Flame Blast,Crimson Burst,,Capturer's Boon | 15,"Egg | Abyssal Drake's Egg | Cinderclaw Castle | Current |  | Normal Difficulty
Chest | Mythical Chest | Limited Events | Current",118
Berrybun,Mythical,Common,1140000,12188000,10,,Standard,Egg Blast,,,"Mentor Spirit | 25
Capturer's Boon | 10","Chest | Memory Chest 1 | Abyss Shop | Current
Egg | Berrybun's Egg | Easter Event 2026 | Unavailable |  | Was obtainable as a drop from Cinderclaw Castle Normal during the Easter 2026 event",119
Bladetooth,Mythical,Ground,704700,16965000,10,,Standard,Sunder Taunt,Thorn Shield,,,"Island Special Spawn | Special Spawn | Blossom Haven | Current
Chest | Mythical Chest | Limited Events | Current",120
Thunderclaw,Mythical,Ground,1782000,9728600,0,,Standard,Gravel Whirlwind,Electro Nova,,,Egg | Thunderclaw's Egg | Blossom Haven | Current,121
Burrowbun,Mythical,Ground,981300,10500000,0,,Standard,Gravel Whirlwind,Rock Road,,Fortune Spirit | 30,Chest | Rift Chest | Abyss Shop | Current,122
Aetherpanther,Mythical,Common,2452200,10250300,10,,Standard,Thunder Stun,Bale Breath,,Spire Dominance | 50,"Rift | Blossom Haven Rift 3 | Blossom Haven | Current
Chest | Mythical Chest | Limited Events | Current",123
Crystalfae,Mythical,Water,1707500,12688000,10,,Standard,Vortex Nova,Tsunami,,Rift Guard | 30,Egg | Crystalfae's Egg | Blossom Haven | Current |  | Area: Maze,124
Magma Tortoise,Mythical,Fire,1101000,26499000,10,,Standard,Flame Jet,Thorn Shield,,Spire Guard | 30,"Egg | Magma Tortoise's Egg | Cinderclaw Castle | Current |  | Nightmare Difficulty
Chest | Mythical Chest | Limited Events | Current",125
Stellar Sentinel,Mythical,Water,2569600,19095000,10,,Standard,Ghost Impact,Soul Reap Chain,,,"Island Special Spawn | Special Spawn | Mobius Circus | Current
Chest | Mythical Chest | Limited Events | Current",126
Lampyr,Mythical,Water,1600000,38423000,0,,Standard,Void Orb,Thunder Stun,,,Egg | Lampyr's Egg | Mobius Circus | Current,127
Umbra Reaver,Mythical,Common,3750000,20450000,0,,Standard,Lightning Storm (Blue),Lightning Thrust,,Trial Power | 50,"Rift | Mobius Rift 3 | Mobius Circus | Current
Chest | Mythical Chest | Limited Events | Current",128
Lumen Knight,Mythical,Common,1500000,64023300,10,,Standard,Lightning Storm (Purple),Lightning Thrust,,Dungeon Guard | 30,"Rift | Mobius Rift 3 | Mobius Circus | Current
Chest | Mythical Chest | Limited Events | Current",129
Jokaire,Mythical,Common,3105100,33220000,0,,Standard,Joker's Trick,Void Collapse,,Capturer's Boon | 15,"Egg | Jokaire's Egg | Mobius Circus | Current
Chest | Mythical Chest | Limited Events | Current",130
Bull Lord,Mythical,Common,3880400,41523000,10,,Standard,Ghost Fireball,Earth Smash,,,"Island Special Spawn | Special Spawn | Specter Shallows | Current
Chest | Mythical Chest | Limited Events | Current",131
Scareaper,Mythical,Common,3615000,55702000,0,,Standard,Reaper's Crescents,Soul Reap Chain,,,"Egg | Scareaper's Egg | Specter Shallows | Current
Chest | Mythical Chest | Limited Events | Current",132
Magmorus,Mythical,Fire,3482300,83841000,10,,Standard,Fire Tornado,Blaze Blast,,Spire Guard | 30,"Rift | Specter Shallows Rift 3 | Specter Shallows | Current
Chest | Mythical Chest | Limited Events | Current",133
Gravion,Mythical,Common,2813200,12041000,10,,Standard,Dark Singularity,Oblivion Beam,,Boss Resistance | 25,"Rift | Specter Shallows Rift 3 | Specter Shallows | Current
Chest | Mythical Chest | Limited Events | Current",134
Runegolem,Mythical,Ground,7007700,52071000,15,,Standard,Ex Rock Toss,Earth Smash,,Critical Damage | 60,"Egg | Runegolem's Egg | Cinderclaw Castle | Current |  | Inferno Difficulty
Chest | Mythical Chest | Limited Events | Current",135
Crabblaze,Mythical,Fire,6528000,69855000,10,,Standard,Fire Dragon Flame Blast,Inferno Maelstrom,,Hard Carapace | 30 | 30,"Island Special Spawn | Special Spawn | Nova Coast | Current
Chest | Mythical Chest | Limited Events | Current",136
Capshark,Mythical,Water,9140000,49900000,10,,Standard,Mighty Water Shuriken,Tsunami,,Boss Resistance | 25,"Island Special Spawn | Special Spawn | Nova Coast | Current
Chest | Mythical Chest | Limited Events | Current",137
Beatopus,Mythical,Water,9140000,49900000,10,,Standard,Deadly Sonic Wave,Ripple Guard,,,Island Special Spawn | Special Spawn | Nova Coast | Current,138
Stormhorn,Mythical,Common,2700000,261900000,0,,Standard,Lightning Thrust,Taunt,,Trial Power | 50,"Rift | Nova Coast Rift 3 | Nova Coast | Current
Chest | Mythical Chest | Limited Events | Current",139
Solgryph,Mythical,Common,11422420,62358000,10,,Standard,Scorching Fireball,Fire Tornado,,Spire Guard | 35,"Rift | Nova Coast Rift 3 | Nova Coast | Current
Chest | Mythical Chest | Limited Events | Current",140
Violetaegis,Mythical,Common,14062000,58772000,15,,Standard,Lightning Storm (Blue),Void Orb,,Vital Surge | 60 |  | 80,"Egg | Violetaegis's Egg | Treasure Vault Cellar | Current |  | Coins
Egg | Violetaegis's Egg | Treasure Vault Cellar | Current |  | Vault Mark
Egg | Violetaegis's Egg | Treasure Vault Cellar | Current |  | EXP
Egg | Violetaegis's Egg | Treasure Vault Cellar | Current",141
Venofrog,Mythical,Water,9824000,105120000,0,,Standard,Tsunami,Poison Volley,,,Island Special Spawn | Special Spawn | Splash Isle | Current,142
Rainimp,Mythical,Water,12698000,94362000,0,,Standard,Soul Reap Chain (Vulnerability),Healing Shuriken,,,Egg | Rainimp's Egg | Splash Isle | Current,143
Vorturion,Mythical,Common,11830000,126580000,10,,Standard,Ghost Impact (Vulnerability),Inferno Blast,,Rift Guard | 30,"Rift | Splash Isle Rift 3 | Splash Isle | Current
Egg | Conduit Egg | Store | Current",144
Sylvaris,Mythical,Common,16562000,90416300,10,,Standard,Root Spike,Urgent Aid,,Mutation Catalyst | 20,"Rift | Splash Isle Rift 3 | Splash Isle | Current
Egg | Conduit Egg | Store | Current",145
Plaguecannon,Mythical,Common,4747000,457290000,0,,Standard,Thorn Shield,Crimson Burst,,,Island Spawn | Natural Spawn | Coilwork City | Current,146
Turretor,Mythical,Common,18410000,136800000,0,,Standard,Scorching Fireball,Flame Detonation,,,Egg | Turretor's Egg | Coilwork City | Current,147
Dragon Cannelloni,Mythical,Fire,40,500,0,,Standard,Dragon's Breath,Fireball,,,Shop | 99 Robux Purachase | Skyheart Isle | Current,148
Flaragflora,Mythical,Grass,15817,117530,0,Flaragon,Standard,Grass Tornado,Solar Beam,,,Evolution | Flaragon Evolution |  | Current |  | Evolves from Flaragon.,149
Flaragfrost,Mythical,Ice,10980,169250,0,Flaragon,Standard,Ex Iceball,Ice Surge,,,Evolution | Flaragon Evolution |  | Current |  | Evolves from Flaragon.,150
Flaragaqua,Mythical,Water,13179,141042,0,Flaragon,Standard,Ex Water Jet,Ex Water Shuriken,,,Evolution | Flaragon Evolution |  | Current |  | Evolves from Flaragon.,151
Glazadonbloom,Mythical,Grass,13180,141040,0,Glazadon,Standard,Solar Breath,Leaf Surge,,,Evolution | Glazadon Evolution |  | Current |  | Evolves from Glazadon.,152
GlazadonWave,Mythical,Water,12280,189210,0,Glazadon,Standard,Water Breath,Ex Water Jet,,,Evolution | Glazadon Evolution |  | Current |  | Evolves from Glazadon.,153
